#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
023655-023656,39.230297,-2.615557,0.562,-99.000,-99.00,-99.00,-99.,18.83,21.78,GG,Y,B,SuGOHI1
023707-023537,39.281615,-2.593682,0.607,-99.000,-99.00,-99.00,-99.,18.96,23.38,GG,YVCN,B,"SuGOHI1 SuGOHI6 SuGOHI10"
023857-060927,39.740410,-6.157750,0.784,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
083311+024513,128.298320,2.753662,0.545,-99.000,-99.00,-99.00,-99.,18.36,21.69,GG,YV,B,"SuGOHI1 SuGOHI6"
083930+021024,129.876600,2.173500,-99.000,-99.000,0.67,0.98,-99.,20.24,21.26,GG,VY,B,"SuGOHI5 SuGOHI6"
084040-003003,130.168696,-0.500879,-99.000,-99.000,0.69,-99.00,-99.,20.34,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
084211+013835,130.546459,1.643238,-99.000,-99.000,0.28,-99.00,-99.,17.69,-99.00,GG,VY,B,"SuGOHI6 LinKS"
084442-012321,131.178240,-1.389410,0.570,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
084536-000456,131.400248,-0.082462,-99.000,-99.000,0.81,-99.00,-99.,19.87,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
084632-015416,131.636180,-1.904640,0.780,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
084958-005306,132.495419,-0.885061,-99.000,-99.000,0.47,-99.00,-99.,19.50,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
085246+021959,133.194924,2.333270,-99.000,-99.000,0.68,-99.00,-99.,20.51,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
085613-014128,134.057270,-1.691210,0.548,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
085738+010250,134.409560,1.047380,0.688,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
085947-003951,134.948441,-0.664355,-99.000,-99.000,0.56,-99.00,-99.,19.77,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
090122-001834,135.343148,-0.309656,-99.000,-99.000,1.14,-99.00,-99.,21.00,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
090146+040732,135.442781,4.125601,-99.000,-99.000,0.67,-99.00,-99.,20.34,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
090241+025318,135.671252,2.888385,-99.000,-99.000,0.92,-99.00,-99.,20.51,-99.00,GG,VY,B,SuGOHI6
090402+031403,136.008760,3.234220,0.614,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
090502+004424,136.260362,0.740006,-99.000,-99.000,0.74,-99.00,-99.,20.90,-99.00,GG,VY,B,SuGOHI6
090548+004743,136.453294,0.795383,-99.000,-99.000,0.93,-99.00,-99.,21.05,-99.00,GG,V,B,SuGOHI6
090603+005146,136.516030,0.862830,0.950,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
