#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
022127-063543,35.363802,-6.595306,0.594,-99.000,-99.00,-99.00,-99.,18.84,21.83,GG,Y,C,SuGOHI1
022157-023309,35.489826,-2.552629,0.604,-99.000,-99.00,-99.00,-99.,20.36,21.46,GG,Y,C,SuGOHI1
022228-042238,35.617790,-4.377410,-99.000,-99.000,0.80,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
022228-050631,35.617740,-5.108620,-99.000,-99.000,0.24,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
022258-012403,35.743280,-1.400990,-99.000,-99.000,0.69,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
022302-031049,35.759340,-3.180554,-99.000,-99.000,0.60,-99.00,-99.,19.52,-99.00,GG,V,C,SuGOHI6
022307-052757,35.782078,-5.466038,0.496,-99.000,-99.00,-99.00,-99.,19.60,22.90,GG,Y,C,"SuGOHI1 DECaLS"
022314-002558,35.811009,-0.432829,0.561,-99.000,-99.00,-99.00,-99.,21.33,-99.00,GG,Y,C,SuGOHI8
022318-030345,35.825528,-3.062739,0.427,-99.000,-99.00,-99.00,-99.,19.01,22.40,GG,Y,C,SuGOHI1
022329-032731,35.873120,-3.458750,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
022334-030440,35.895639,-3.077966,-99.000,-99.000,0.68,-99.00,-99.,19.50,-99.00,GG,VY,C,SuGOHI6
022357-064616,35.991158,-6.771207,0.470,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,E,C,SuGOHI1
022415-034430,36.063791,-3.741703,0.536,-99.000,-99.00,-99.00,-99.,18.48,21.78,GG,YV,C,"SuGOHI1 SuGOHI5 SuGOHI6"
022426-033733,36.110815,-3.625922,0.611,-99.000,-99.00,-99.00,-99.,19.45,23.74,GG,Y,C,SuGOHI1
022428-051231,36.119458,-5.208670,0.498,-99.000,-99.00,-99.00,-99.,18.68,22.61,GG,Y,C,SuGOHI1
022449-030955,36.204940,-3.165380,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
022450-021505,36.209640,-2.251499,-99.000,-99.000,0.74,-99.00,-99.,20.27,-99.00,GG,V,C,SuGOHI6
022536-041517,36.403019,-4.254967,0.556,-99.000,-99.00,-99.00,-99.,19.13,21.87,GG,Y,C,"SuGOHI1 DECaLS Gavazzi et al. 2014"
022545-023618,36.439815,-2.605061,-99.000,-99.000,1.03,-99.00,-99.,21.27,-99.00,GG,V,C,SuGOHI6
022613-044018,36.557581,-4.671795,0.620,-99.000,-99.00,-99.00,-99.,19.55,22.47,GG,YC,C,SuGOHI1
022624-001716,36.600064,-0.287862,0.554,-99.000,-99.00,-99.00,-99.,21.64,-99.00,GG,Y,C,SuGOHI8
022644-061438,36.684250,-6.243930,-99.000,-99.000,0.81,-99.00,-99.,20.43,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
022704-030722,36.769997,-3.122968,-99.000,-99.000,1.11,-99.00,-99.,22.16,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
022726-022152,36.860584,-2.364474,0.365,-99.000,-99.00,-99.00,-99.,17.41,21.47,GG,Y,C,SuGOHI1
022833-020710,37.137860,-2.119460,-99.000,-99.000,0.56,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
022834-055948,37.142012,-5.996838,-99.000,-99.000,0.72,-99.00,-99.,20.11,-99.00,GG,VYCN,C,"SuGOHI6 SuGOHI10"
022840-041844,37.166964,-4.312274,-99.000,-99.000,0.45,-99.00,-99.,19.35,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
022843-051744,37.181711,-5.295705,0.379,-99.000,-99.00,-99.00,-99.,18.06,23.05,GG,Y,C,SuGOHI1
022904-061937,37.268700,-6.327100,0.189,-99.000,0.20,-99.00,-99.,16.54,-99.00,GG,V,C,SuGOHI5
022911-055914,37.298500,-5.987300,-99.000,-99.000,0.36,-99.00,-99.,21.36,-99.00,GG,V,C,SuGOHI5
022930-033836,37.377084,-3.643468,0.669,-99.000,-99.00,-99.00,-99.,19.01,22.55,GG,YCN,C,"SuGOHI1 DES SuGOHI10"
022935-012243,37.399220,-1.378643,0.659,-99.000,-99.00,-99.00,-99.,19.03,23.00,GG,Y,C,SuGOHI2
022940-032200,37.417700,-3.366860,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
