Cand;objID;RAJ2000.;DEJ2000.;Grade;z;imag;Notes;r_z;SimbadName
DESJ0510-5637 ;416330172;077.55490;-56.63171; 2.7; 0.56; 19.0;a  ;       1;DES J051013.16-563754.1
DESJ0511-3134 ;413601266;077.82017;-31.57560; 2.3; 0.84; 19.6;   ;        ;DES J051116.84-313432.1
DESJ0512-5041 ;414671694;078.00324;-50.68968; 2.7; 0.80; 20.4;   ;        ;DES J051200.77-504122.8
DESJ0513-3847 ;415684203;078.25092;-38.79534; 3.0; 0.42; 17.2;   ;        ;DES J051300.22-384743.2
DESJ0514-5456 ;423087260;078.53033;-54.94835; 2.0; 0.89; 20.2;   ;        ;DES J051407.27-545654.0
DESJ0516-2208 ;421153300;079.01322;-22.14642; 2.0; 0.74; 18.9;   ;        ;DES J051603.17-220847.1
DESJ0516-4416 ;425110323;079.17349;-44.27903; 2.7; 0.70; 19.9;   ;        ;DES J051641.63-441644.5
DESJ0522-6036 ;432182051;080.58806;-60.60666; 2.7; 0.38; 17.0;   ;        ;DES J052221.13-603623.9
DESJ0524-2721 ;495171666;081.09859;-27.35316; 2.3; 0.38; 17.3;   ;        ;DES J052423.66-272111.3
DESJ0525-4424 ;431878468;081.36681;-44.40375; 2.3; 0.54; 19.2;a  ;       1;[DBL2017] DES J0525-4424 (A)
DESJ0528-3811 ;434441869;082.13907;-38.19495; 2.0; 0.66; 19.8;   ;        ;DES J052833.37-381141.8
DESJ0530-6109 ;437004264;082.51363;-61.16180; 2.0; 0.50; 19.4;   ;        ;DES J053003.27-610942.4
DESJ0531-3158 ;435151688;082.92694;-31.98092; 2.0; 0.56; 18.7;   ;        ;DES J053142.46-315851.3
DESJ0533-2536 ;436520077;083.45553;-25.61511; 3.0; 0.71; 19.8;   ;        ;DES J053349.32-253654.3
DESJ0534-5347 ;476312399;083.68678;-53.78785; 2.7; 0.46; 18.4;   ;        ;DES J053444.82-534716.2
DESJ0536-5338 ;441387666;084.02185;-53.64641; 2.7; 0.75; 19.6;a  ;        ;[DBL2017] DES J0536-5338 (A)
DESJ0537-4647 ;440192267;084.35163;-46.78401; 2.0; 0.41; 18.0;   ;        ;DES J053724.39-464702.4
DESJ0537-4711 ;442349695;084.44091;-47.18897; 2.3; 0.45; 17.4;a  ;       1;[DBL2017] DES J0537-4711 (A)
DESJ0538-4735 ;440626159;084.51923;-47.58715; 3.0; 0.64; 19.5;a  ;       1;[DBL2017] DES J0538-4735 (A)
DESJ0542-5949 ;446496955;085.60111;-59.83305; 2.3; 0.82; 20.0;   ;        ;DES J054224.26-594958.9
DESJ0543-3034 ;443691408;085.99182;-30.58041; 2.3; 0.46; 18.6;   ;        ;DES J054358.03-303449.4
DESJ0543-3752 ;443873820;085.75861;-37.87701; 2.3; 0.54; 19.3;d  ;        ;DES J054302.06-375237.2
DESJ0546-2000 ;445925268;086.52108;-20.00709; 2.3; 0.68; 18.9;   ;        ;DES J054605.05-200025.5
DESJ0546-3329 ;446691881;086.61455;-33.48964; 2.3; 0.46; 18.5;d  ;        ;DES J054627.49-332922.7
DESJ0553-2853 ;455705762;088.29686;-28.89357; 2.0; 0.73; 19.8;   ;        ;DES J055311.24-285336.8
DESJ0554-2238 ;460703862;088.60108;-22.63505; 2.0; 0.45; 20.1;b  ;        ;DES J055424.25-223806.1
DESJ0557-4159 ;448420913;089.39342;-41.99730; 2.7; 0.58; 19.9;d  ;        ;DES J055734.42-415950.2
DESJ0559-3540 ;449284676;089.95629;-35.67013; 2.0; 0.69; 19.9;   ;        ;DES J055949.50-354012.4
DESJ0602-4524 ;454651910;090.69522;-45.41200; 3.0; 0.53; 18.6;a,d;       1;[DBL2017] DES J0602-4524 (A)
DESJ0612-3920 ;461287032;093.11443;-39.34343; 2.0; 0.51; 19.1;   ;        ;DES J061227.46-392036.3
DESJ0613-5552 ;464163629;093.30138;-55.87347; 2.7; 0.81; 20.4;   ;        ;DES J061312.33-555224.4
DESJ0620-5628 ;467246294;095.07919;-56.48287; 2.7; 0.61; 19.4;   ;        ;DES J062019.00-562858.3
DESJ0624-4709 ;467288040;096.06586;-47.16168; 2.7; 0.84; 19.9;d  ;        ;DES J062415.80-470942.0
DESJ0625-4526 ;466018111;096.25055;-45.43576; 2.7; 0.60; 18.9;a  ;       1;[DBL2017] DES J0625-4526 (A)
DESJ0626-5730 ;467900153;096.59632;-57.50837; 2.7; 0.72; 18.8;   ;        ;DES J062623.11-573030.1
DESJ0628-5023 ;467004961;097.03929;-50.39994; 2.0; 0.44; 18.1;   ;        ;DES J062809.42-502359.7
DESJ2014-5757 ;166130477;303.58076;-57.95041; 3.0; 0.80; 20.0;d  ;        ;DES J201419.38-575701.4
DESJ2025-4204 ;166736956;306.32627;-42.08248; 2.0; 0.71; 20.2;b  ;        ;DES J202518.30-420456.9
DESJ2028-5231 ;170303276;307.23246;-52.52177; 3.0; 0.66; 19.7;   ;        ;DES J202855.79-523118.3
DESJ2039-5459 ;174184226;309.79778;-54.99594; 2.7; 0.17; 21.0;a  ;       1;DES J203911.46-545945.3
DESJ2045-6344 ;218602325;311.29752;-63.74792; 2.0; 0.48; 17.9;   ;        ;DES J204511.40-634452.5
DESJ2051-6450 ;179178262;312.99332;-64.84365; 2.0; 0.62; 20.0;   ;        ;DES J205158.39-645037.1
DESJ2053-5046 ;242818860;313.28612;-50.78121; 2.3; 0.70; 20.7;d  ;        ;DES J205308.66-504652.3
DESJ2056-4238 ;186351000;314.06590;-42.64923; 2.7; 0.71; 20.4;   ;        ;DES J205615.81-423857.2
DESJ2101-5629 ;236804532;315.25851;-56.49656; 2.0; 0.41; 18.7;   ;        ;DES J210102.04-562947.6
DESJ2105-4934 ;187548006;316.27045;-49.57829; 2.0; 0.51; 18.2;   ;        ;DES J210504.90-493441.8
DESJ2106-4411 ;188387027;316.52989;-44.19821; 2.7; 0.46; 18.5;d  ;        ;DES J210607.17-441153.5
DESJ2106-5402 ;184661871;316.64790;-54.04109; 2.0; 0.42; 17.8;d  ;        ;DES J210635.49-540227.9
DESJ2110-5639 ;185701755;317.52247;-56.65849; 2.7; 0.59; 18.3;a,d;       1;[DBL2017] DES J2110-5639 (A)
DESJ2112+0009 ;188723770;318.17974;+00.15577; 2.7; 0.59; 18.4;   ;        ;DES J211243.13+000920.7
DESJ2113-0114 ;192966022;318.48453;-01.24069; 2.7; 0.53; 18.9;a  ;       1;[DBL2017] DES J2113-0114 (A)
DESJ2116-5947 ;193746022;319.11382;-59.78382; 3.0; 0.48; 17.8;   ;        ;DES J211627.31-594701.7
DESJ2117-0056 ;196646767;319.34830;-00.94774; 2.3; 0.53; 17.8;d  ;        ;DES J211723.59-005651.8
DESJ2118-4317 ;193632443;319.60728;-43.29433; 2.3; 0.51; 19.2;   ;        ;DES J211825.74-431739.5
DESJ2119-0009 ;195317995;319.83958;-00.16294; 2.3; 0.54; 20.0;   ;        ;DES J211921.49-000946.5
DESJ2122-4250 ;196144920;320.55153;-42.84999; 2.0; 0.62; 19.1;   ;        ;DES J212212.36-425059.9
DESJ2124-4128 ;197645134;321.19662;-41.47104; 2.3; 0.63; 19.0;d  ;        ;DES J212447.18-412815.7
DESJ2125-6504 ;191159999;321.30012;-65.07408; 3.0; 0.78; 19.4;d  ;        ;DES J212512.02-650426.6
DESJ2126-0058 ;199596977;321.71310;-00.97425; 2.0; 0.60; 19.6;   ;        ;DES J212651.14-005827.3
DESJ2127-5149 ;198186510;321.77933;-51.83083; 3.0; 0.77; 19.3;a,d;       1;[DBL2017] DES J2127-5149 (A)
DESJ2130+0159 ;198514358;322.69589;+01.99907; 2.3; 0.69; 19.6;   ;        ;DES J213047.01+015956.6
DESJ2131-4019 ;203401336;322.77049;-40.32251; 2.2; 0.45; 17.7;b  ;        ;DES J213104.91-401921.0
DESJ2131-4655 ;204721418;322.98474;-46.92895; 2.0; 0.71; 19.7;   ;        ;DES J213156.33-465544.2
DESJ2132-4305 ;200096605;323.07334;-43.09307; 2.0; 0.50; 18.7;   ;        ;DES J213217.60-430535.0
DESJ2137-0129 ;208765710;324.49176;-01.48996; 2.7; 0.41; 18.2;   ;        ;DES J213758.02-012923.8
DESJ2139-4251A;244329751;324.78020;-42.86152; 2.3; 0.46; 19.5;b  ;        ;DES J213907.24-425141.4
DESJ2140-0149 ;207661829;325.21674;-01.82716; 2.3; 0.67; 19.2;   ;        ;DES J214052.01-014937.7
DESJ2140-4207 ;212627230;325.02644;-42.12956; 2.7; 0.56; 19.4;   ;        ;DES J214006.34-420746.4
DESJ2144-4149 ;242604259;326.22656;-41.83128; 2.0; 0.37; 17.2;   ;        ;DES J214454.37-414952.6
DESJ2145-4306 ;214625101;326.44328;-43.11370; 2.0; 0.51; 18.9;   ;        ;DES J214546.38-430649.3
DESJ2149-0012 ;215694905;327.31380;-00.21431; 2.0; 0.64; 18.0;a  ;       1;2SLAQ J214915.31-001251.7
DESJ2152-5250 ;243367339;328.22047;-52.83500; 2.3; 0.65; 19.1;   ;        ;DES J215252.91-525006.0
DESJ2159-4307 ;245879871;329.77985;-43.12946; 2.2; 0.39; 16.2;b  ;        ;DES J215907.16-430746.0
DESJ2200-4128 ;247210752;330.18545;-41.47227; 2.3; 0.56; 19.8;a  ;       2;DES J220044.50-412820.1
