Cand;objID;RAJ2000.;DEJ2000.;Grade;z;imag;Notes;r_z;SimbadName
DESJ0102-2911 ;291358790;015.73954;-29.18939; 2.7; 0.41; 16.9;c,d;        ;DES J010257.48-291121.8
DESJ0103-4322 ;289419858;015.77502;-43.38144; 2.3; 0.62; 19.9;   ;        ;DES J010306.00-432253.1
DESJ0105+0144 ;291983478;016.33185;+01.74904; 3.0; 0.44; 17.8;a  ;       4;[SAB2013] SDSS J0105+0145 lens
DESJ0105-2952 ;293813558;016.37624;-29.88030; 2.3; 0.73; 19.5;   ;        ;DES J010530.29-295249.0
DESJ0105-3725 ;300793100;016.45017;-37.42846; 2.0; 0.52; 18.9;   ;        ;DES J010548.04-372542.4
DESJ0105-3939 ;293220440;016.41856;-39.65728; 2.0; 0.43; 17.8;   ;        ;DES J010540.45-393926.2
DESJ0106-4432 ;293872042;016.74639;-44.53373; 3.0; 0.51; 19.3;   ;        ;DES J010659.13-443201.4
DESJ0106-6258 ;293662059;016.71496;-62.97051; 2.3; 0.75; 19.5;   ;        ;DES J010651.59-625813.8
DESJ0109-0455 ;295037190;017.29452;-04.91948; 2.0; 0.70; 19.4;d  ;        ;DES J010910.68-045510.1
DESJ0109-3335 ;301649992;017.46945;-33.59256; 2.2; 0.61; 17.8;b  ;        ;DES J010952.66-333533.2
DESJ0112-0434 ;297291474;018.07535;-04.58298; 2.0; 0.55; 19.2;   ;        ;DES J011218.08-043458.7
DESJ0112-1902 ;297683272;018.17142;-19.04563; 2.0; 0.63; 18.8;   ;        ;DES J011241.14-190244.2
DESJ0112-5509 ;298183415;018.17438;-55.16470; 2.3; 0.79; 20.1;   ;        ;DES J011241.85-550952.9
DESJ0113-2924 ;298513392;018.48794;-29.41090; 2.7; 0.62; 20.1;   ;        ;DES J011357.10-292439.2
DESJ0114-3613 ;304672421;018.53489;-36.22043; 2.7; 0.53; 19.0;   ;        ;DES J011408.37-361313.5
DESJ0115-3520 ;299965546;018.92008;-35.33872; 2.7; 0.55; 18.7;   ;        ;DES J011540.81-352019.3
