"objname","old objnames","Photometry Proposal ID","Status","z_spec_Deflector","z_spec_Source","z_phot_Deflector","Nandini","Comments","Michelle","Comments","Makai","Comments","Final Classification"
AGEL233552-515218A,DESJ2335-5152,GLAZEBROOK_16773_HST,Observed,0.556,2.23,,Single,,Single,,,,Single
AGEL234930-511339A,DESJ2349-5113,GLAZEBROOK_16773_HST,Observed,,1.3931,0.48,Group,,Group,"2 deflectors, but near 2 nice arcs",,,Group
AGEL020613-011417A,DESJ0206-0114,GLAZEBROOK_16773_HST,Observed,0.7143014,1.302,,Cluster/Group,"This seems like a cutoff image of a big cluster, I do not see bi defelector, this must be a dark matter hot spot",Cluster (?),"Not know how to classify, maybe arcs near edge of image of lookbook",,,DISCUSS
AGEL021408-020629A,DCLS0214-0206,GLAZEBROOK_16773_HST,Observed,,,,Cluster/Group,,Cluster,Perfect for thesis,,,DISCUSS
AGEL233610-020735A,PS1J2336,GLAZEBROOK_16773_HST,Observed,0.4941696,2.662,,Single,,Single,,,,Single
AGEL000729-443446A,DESJ0007-4434,GLAZEBROOK_16773_HST,Observed,,1.0094,0.52,Single,,Single,,,,Single
AGEL035606-560729A,DESJ0356-5607,GLAZEBROOK_16773_HST,Observed,,,,Group,,Single,Nice example of arcs,,,DISCUSS
AGEL010238+015857A,DESJ0102+0158,GLAZEBROOK_16773_HST,Observed,0.86,1.816,,Single,,Single,,,,Single
AGEL212326+015312A,CSWA157,GLAZEBROOK_16773_HST,Observed,0.525,1.18,,Group?,,Single (?),"multiple sources, which may indicate more deflectors?",,,DISCUSS
AGEL033203-132510A,DCLS0332-1325,GLAZEBROOK_16773_HST,Observed,,"2.334, n/a",0.64,Single,,Single,,,,Single
AGEL211515+101153A,DCLS2115+1011,GLAZEBROOK_16773_HST,Observed,,,,Group,"The bright object on the right seems another deflector, its too bright to be lensed background source. need check",Single (?),Not sure if the 2 sources are in the background or foreground,,,DISCUSS
AGEL214915-001252A,DESJ2149-0012,GLAZEBROOK_16773_HST,Observed,0.4525166,1.943,,Group,two extra small perturbers near counter arc?,Single ,,,,DISCUSS
AGEL004257-371858A,DESJ0042-3718,GLAZEBROOK_16773_HST,Observed,,3.0936,0.77,Single,,Single,,,,Single
AGEL213758-012924A,DESJ2137-0129,GLAZEBROOK_16773_HST,Observed,0.27,1.49,,Single,I see shells,Single,,,,Single
AGEL025220-473238A,DESJ0252-4732,GLAZEBROOK_16773_HST,Observed,0.494,1.5,,Group,,Group,Perfect for thesis,,,Group
AGEL001310+004004A,DESJ0013+0040,GLAZEBROOK_16773_HST,Observed,0.6929675,2.07,,Single,,Single (?),Arcs are weird,,,DISCUSS
AGEL222609+004142A,DESJ2226+0041,GLAZEBROOK_16773_HST,Observed,0.6470755,1.896,,Group,,Cluster/Group,Some smears that may be another arc,,,DISCUSS
AGEL043806-322852A,DESJ0438-3228,GLAZEBROOK_16773_HST,Observed,,0.88,,Group,,Group,2-4 deflectors,,,Group
AGEL090115+095624A,DESI-135.3125+09.9401,GLAZEBROOK_16773_HST,Observed,,2.635,0.81,Group,,Group,There seems to be larger arcs,,,Group
AGEL094412+322039A,DCLS0944+3220,GLAZEBROOK_16773_HST,Observed,0.5952291,2.827,,Group/Single,need z check for 2nd small deflector,Group,2 deflectors,,,DISCUSS
AGEL014106-171324A,DESJ0141-1713,GLAZEBROOK_16773_HST,Observed,0.608,2.436,,Group,,Group (?),The arc seems mostly centred around the central deflector,,,DISCUSS
AGEL211627-594702A,DESJ2116-5947,GLAZEBROOK_16773_HST,Observed,0.395,1.41,,Group,double lensing,Cluster (?),Multiple lensed sources,,,DISCUSS
AGEL024229-294305A,DESJ0242-2943,GLAZEBROOK_16773_HST,Observed,,,,Single,,Single,,,,Single
AGEL212512-650427A,DESJ2125-6504,GLAZEBROOK_16773_HST,Observed,0.779,2.221,,Group,I might model it as a single deflector case,Group ,2 deflectors,,,DISCUSS
AGEL040823-532714A,DESJ0408-5327,GLAZEBROOK_16773_HST,Observed,,,0.62,No image,,Group,No image,,,DISCUSS
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,11,Cluster,14,,,,
,,,,,,,50,Group,43,,,,
,,,,,,,60,Single,66,,,,
,,,,,,,121,,123,,,,
,,,,,,,,,3 repeats,,,,
,,,,,,,,,4 no images,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,Percentage of group/cluster lenses,46.34146341,,,,
